start,open,high,low,close,volume,trades,action
1547143200000,3574.15,3576.61,3557.16,3573.78,1118.0351940000003,9782,0
1547146800000,3573.78,3606.88,3540.33,3596.12,3226.0201700000002,17766,0
1547150400000,3596.73,3609.21,3582,3585.62,1613.4267580000007,12883,0
1547154000000,3585.07,3593.98,3574.65,3586.29,1029.9466869999999,9921,0
1547157600000,3586.29,3590.46,3574.64,3583.43,1215.7059029999998,9735,1
1547161200000,3583.43,3597.72,3577.05,3585.88,1355.737304,10022,1
1547164800000,3585.88,3617.04,3557.52,3607.72,2396.186278999999,13587,0
1547168400000,3608.36,3609.09,3586.63,3592.95,1248.3205980000005,9390,0
1547172000000,3591.17,3596.74,3572.76,3579.76,1203.7324729999993,9741,1
1547175600000,3579.78,3589.79,3576.76,3583.09,1151.795595,9056,1
1547179200000,3583.05,3583.12,3546.36,3562,2425.338604999999,12613,1
1547182800000,3562,3575.78,3560,3573.49,1339.3544440000003,8724,1
1547186400000,3573.47,3590,3570.55,3584.48,883.6087760000001,8113,1
1547190000000,3584.76,3597,3578.95,3595.47,1112.0170070000004,8549,0
1547193600000,3595.47,3635,3590.82,3605.61,2203.9021770000004,14672,0
1547197200000,3606.49,3612,3587.43,3591.3,1532.5014140000003,10883,0
1547200800000,3589.98,3597.64,3562,3586.06,1755.5073439999999,11902,1
1547204400000,3586.45,3596.99,3580.02,3594,1249.1065640000004,8964,0
1547208000000,3593.57,3594.18,3571.18,3585.4,1311.3591970000004,8918,1
1547211600000,3584.97,3590.94,3569.16,3569.67,1214.857829,9007,1
1547215200000,3570.12,3612,3569.17,3598.72,1940.3758919999998,12747,0
1547218800000,3599.79,3616.13,3585.5,3585.51,1337.3239260000003,10949,1
1547222400000,3586.49,3620.24,3582.5,3601.05,1439.9932979999994,10680,0
1547226000000,3601.22,3615.82,3599.85,3608.9,1101.792551,9148,0
1547229600000,3608.93,3612.67,3594,3605.88,1092.0068840000001,7531,0
1547233200000,3605.88,3613,3602,3606.15,866.6796549999999,6741,0
1547236800000,3606.36,3624.82,3601.58,3610.7,1123.7241090000002,8307,0
1547240400000,3611.51,3658,3594.06,3602.52,2024.5048459999996,11446,0
1547244000000,3602.52,3606.88,3571.43,3578.85,1307.0592060000008,8669,0
1547247600000,3578.85,3615,3465,3601.31,5077.606064000002,21704,0
1547251200000,3601.31,3618.19,3588.01,3601.46,1929.342049999999,11004,0
1547254800000,3601.01,3601.53,3533,3590.17,1787.0645509999997,10229,0
1547258400000,3590.17,3596.55,3579,3594.88,785.1897019999998,7445,0
1547262000000,3594,3603.19,3589.33,3601.15,741.2997880000001,7718,0
1547265600000,3600.64,3601.14,3589.47,3590.35,555.013774,5522,0
1547269200000,3591.52,3598.77,3586.42,3587.72,433.6270999999999,5552,0
1547272800000,3588.21,3592.46,3567.31,3571.74,898.063944,7882,0
1547276400000,3572.74,3583,3571.37,3582.38,721.7671989999999,6493,0
1547280000000,3582.09,3582.81,3571.2,3574.06,565.230882,5638,0
1547283600000,3574.8,3579.78,3559.5,3578.3,883.056768,6996,0
1547287200000,3578,3585.71,3572.93,3575.89,610.818668,6159,0
1547290800000,3575.91,3578.79,3569.32,3571.16,518.6292679999999,5706,0
1547294400000,3571.89,3605,3530,3590.36,2214.429136,11900,0
1547298000000,3590.38,3593.18,3574,3587.73,1194.251472,7389,0
1547301600000,3588,3594.82,3582.61,3592.5,840.4310859999999,6493,0
1547305200000,3592.25,3594,3584,3591.11,730.1551209999998,5971,0
1547308800000,3591.11,3599,3587.01,3589.9,992.7065569999997,7294,0
1547312400000,3590,3600,3572.19,3592,1163.4537070000003,7394,0
1547316000000,3592.02,3599.86,3588.7,3591.92,568.264349,5375,0
1547319600000,3591.92,3596,3587,3593.74,437.9448239999999,4542,0
1547323200000,3592.79,3600.62,3585,3594.62,606.4834649999998,5172,0
1547326800000,3594.6,3603.55,3588.43,3591.3,573.886906,4974,0
1547330400000,3590.72,3612.39,3571.14,3580.01,1067.2449300000003,8139,0
1547334000000,3580.43,3590.71,3563.01,3583.13,1181.5731069999995,6960,0
1547337600000,3584.1,3587.01,3566.19,3570.47,885.2259559999997,5919,0
1547341200000,3570.67,3583.58,3564.41,3569.04,862.431207,5897,0
1547344800000,3568.48,3588.24,3568,3588.24,578.5879919999999,5274,0
1547348400000,3588.24,3595,3585.12,3593.24,486.3084529999999,4708,0
1547352000000,3593.27,3598.88,3585.07,3586.49,510.48798,4718,0
1547355600000,3587.21,3591.56,3581.62,3582.26,341.0714760000002,3868,0
1547359200000,3582.28,3592.71,3575.84,3580.94,570.4941810000001,4833,0
1547362800000,3581.93,3586.22,3579.47,3583.68,336.028279,3789,0
1547366400000,3583.68,3587.85,3574,3575.1,303.63804200000004,3817,0
1547370000000,3576.32,3586.97,3571.7,3586,395.8959629999998,4083,0
1547373600000,3586,3588.36,3580.05,3584.09,483.44535999999994,4244,0
1547377200000,3584.91,3590.02,3583.88,3589.38,576.042209,4497,0
1547380800000,3589.28,3611.1,3560.26,3583.36,1503.317532,8682,0
1547384400000,3583.74,3593.08,3583.36,3590.48,576.8465019999999,4325,0
1547388000000,3588.6,3590.47,3570,3572.18,761.6373019999999,5648,0
1547391600000,3570.55,3577.01,3566.12,3575.53,730.5828920000004,5391,0
1547395200000,3576.32,3576.33,3441.3,3462.18,7490.318081999992,33631,1
1547398800000,3464.91,3490.81,3444.28,3479.01,2170.8266029999995,12731,1
1547402400000,3478.56,3486.13,3449.2,3462.75,1671.0605640000003,10240,1
1547406000000,3463,3474.91,3457.18,3465.82,1406.0876080000003,9680,1
1547409600000,3465.03,3475.61,3457.63,3462.32,1083.8864260000003,6596,1
1547413200000,3462.85,3497.98,3454,3479.63,1330.696549,8760,1
1547416800000,3480.14,3482.48,3465,3470.51,614.856849,5443,1
1547420400000,3469.83,3477.56,3457.2,3476.81,715.9834469999998,6282,1
1547424000000,3477.56,3483.07,3467.02,3483.05,707.9054440000001,6192,1
